department,course,name,units,description,prereqs,satisfies,grading,repeatable,crosslist,sustainability,notes
COMM,176P,Communication and Gender,4 unit(s),An analysis of issues and problems related to communication and gender. The course considers theoretical and practical perspectives across gendered interactions in a variety of situations and cultures.,Prerequisite(s): Completion of A1 of Core GE requirement or instructor consent.,,Grading: Letter Graded,,,Sustainability Related - SDG 5: Gender Equality ,
COMM,178F,Critical Intercultural Communication Studies,4 unit(s),"An overview of the critical paradigmatic perspective in intercultural communication.  Such a perspective proffers an exploration of power dimensions and macro structures that frame and shape micro-intercultural communication encounters, episodes, and contexts. ",Prerequisite(s): Upper division standing.,,Grading: Letter Graded,,,,
COMM,179,Global Media and Resistance,3 unit(s),"Study of communication issues facing global resistance movements, particularly the role of new technology and social media in public dissent. Covers the application of social movements and resistance theories and concepts.","Prerequisite(s): Completion of Core General Education and upper division standing are prerequisites to all SJSU studies courses. Completion of, or co-registration in, 100W is strongly recommended.",Satisfies SJSU Studies V: Cultures and Global Understanding.,Grading: Letter Graded,,,Sustainability Related - SDG 10: Reduced Inequalities ,
COMM,180,Individual Studies,1-3 unit(s),Supervised study in specific fields of speech not covered by offered courses.,Prerequisite(s): Department chair consent.,,Grading: Credit/No Credit,,,,
COMM,181F,New Media/New World,4 unit(s),"Explores the impact of the internet, mobile devices, and other information and communication technologies on social interaction, self-representation, business, politics, and cultural production. Covers the application of mediated communication theories and concepts.",Prerequisite(s): Upper division standing.,,Grading: Letter Graded,,,,
COMM,182P,Communication in the Classroom,4 unit(s),Analysis of the classroom as a communication system. Application of communication principles to the facilitation of educational dialogue.,Prerequisite(s): Completion of GE Area A1 (Oral Communication).,,Grading: Letter Graded,,,,
COMM,184,Directed Reading,1-2 unit(s),A total of 3 units may be repeated.,Prerequisite(s): Upper division or graduate standing and department chair approval.,,Grading: Credit/No Credit,Course may be repeated for credit for up to 3 units.,,,
COMM,185F,Health Communication,4 unit(s),"Theories of verbal and nonverbal communication, organizational communication, interviewing, intercultural understanding, and critical approaches to communication through examination of health narratives, competencies needed by health care professionals, patients and caregivers, and the complexities of healthcare politics. Communication problems encountered in healthcare and theory-driven strategies for improving and coping with these problems.",Prerequisite(s): Upper division standing (60 units completed) or instructor consent.,,Grading: Letter Graded,,,,
COMM,186I,Research Methods in Health Communication,"Comprehensive overview of research methods in health communication as a discipline and professional practice including social scientific, observational, narrative, meta-analytic, rhetorical, and critical methods. Explorations of the unique ethical responsibilities of health communication researchers as well as various processes of research design and data collection, practices of analysis, and tools for academic and professional writing.",,Prerequisite(s): Upper division standing (60 units completed) or instructor consent.,,Grading: Letter Graded,,,,
COMM,187P,Communication and Community Wellness,4 unit(s),"Introduction to the various layers of communication (family, media, community, and institutional) that inhibit and foster individual health and well-being. Exposure to literature in the area of community health and wellness, including theoretical, methodological, and policy debates. Students consider and develop their own community-based solutions to public health challenges.",Prerequisite(s): Completion of GE Area 1 (oral communication).,,Grading: Letter Graded,,,,
COMM,190,Activity Projects in Speech,1-6 unit(s),"Supervised activity in communication studies. Application of principles and theories of communication in business, community and professional settings.",Prerequisite(s): Upper division or graduate standing and department chair approval.,,Grading: Credit/No Credit,,,,
COMM,190I,Activity Proj in Speech International,1-6 unit(s),"Supervised activity in communication studies for international students. Application of principles and theory of communication in business, community, and professional settings with specific attention to the needs of visiting international students.","Prerequisite(s): Upper division or graduate standing, or department chair approval.",,Grading: Letter Graded,Course may be repeated for credit for up to 6 units.,,,
COMM,191A,Activity Projects in Forensics,1-3 unit(s),"Supervised activity in the forensics program. A: Competition in debate. B: Individual events-Platform Speaking including persuasive speaking and communication analysis. C: Individual events oral interpretation (field trips required). J: Preparation for and judging competitive speaking activities (debates, individual events in college and high school forensics tournaments, community-sponsored speech contests). M: Research and oral presentation of appellate court arguments from simulated cases before law judges or in intercollegiate tournaments. A total of 6 units applicable to the major may be repeated.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,191B,Activity Projects in Forensics,1-3 unit(s),"Supervised activity in the forensics program. A: Competition in debate. B: Individual events-Platform Speaking including persuasive speaking and communication analysis. C: Individual events oral interpretation (field trips required). J: Preparation for and judging competitive speaking activities (debates, individual events in college and high school forensics tournaments, community-sponsored speech contests). M: Research and oral presentation of appellate court arguments from simulated cases before law judges or in intercollegiate tournaments. A total of 6 units applicable to the major may be repeated.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,191C,Activity Projects in Forensics,1-3 unit(s),"Supervised activity in the forensics program. A: Competition in debate. B: Individual events-Platform Speaking including persuasive speaking and communication analysis. C: Individual events oral interpretation (field trips required). J: Preparation for and judging competitive speaking activities (debates, individual events in college and high school forensics tournaments, community-sponsored speech contests). M: Research and oral presentation of appellate court arguments from simulated cases before law judges or in intercollegiate tournaments. A total of 6 units applicable to the major may be repeated.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,191J,Activity Projects in Forensics,1 unit(s),"Supervised activity in the forensics program. A: Competition in debate. B: Individual events-Platform Speaking including persuasive speaking and communication analysis. C: Individual events oral interpretation (field trips required). J: Preparation for and judging competitive speaking activities (debates, individual events in college and high school forensics tournaments, community-sponsored speech contests). M: Research and oral presentation of appellate court arguments from simulated cases before law judges or in intercollegiate tournaments. A total of 6 units applicable to the major may be repeated.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,191M,Activity Projects in Forensics,1 unit(s),"Supervised activity in the forensics program. A: Competition in debate. B: Individual events-Platform Speaking including persuasive speaking and communication analysis. C: Individual events oral interpretation (field trips required). J: Preparation for and judging competitive speaking activities (debates, individual events in college and high school forensics tournaments, community-sponsored speech contests). M: Research and oral presentation of appellate court arguments from simulated cases before law judges or in intercollegiate tournaments. A total of 6 units applicable to the major may be repeated.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,192,International Program Studies,1-12 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
COMM,193,Activity Projects in Intercultural/International Communication,1-3 unit(s),"Supervised activity in communication studies for students participating in immersive experiences in different cultural environments. Students demonstrate proficiency in evaluating and applying core communication concepts relevant to the experience of living, studying, and/or working in a different cultural environment.",,,Grading: Letter Graded,Course may be repeated for credit for up to 6 units.,,,
COMM,194,Specialized Projects for International Immersion,1 unit(s),"Supervised activity in communication studies for students participating in immersive direct enrollment programs abroad. Students demonstrate proficiency in evaluating and applying core communication concepts relevant to the experience of living, studying, and/or working in a different cultural environment.",,,Grading: Credit/No Credit,Course may be repeated for credit for up to 3 units.,,,
COMM,195,Special Topics in Communication Studies,1-3 unit(s),Investigation of topics not included in regular departmental offerings. Focus varies each semester and is announced in the schedule of classes. Course is repeatable with department chair consent no more than 3 times. Course is repeatable with department chair consent no more than 3 times.,,,Grading: Letter Graded,Course may be repeated for credit for up to 9 units.,,,
COMM,198,Applied Activity in Communication,1-2 unit(s),Practical application of communication theory to real world settings to provide meaningful applied capstone experiences. Students demonstrate proficiency in the critical application of core communication requirements to speech acts and contexts outside the traditional classroom.,Prerequisite(s): COMM 101 or COMM 101C; upper division standing.,,Grading: Credit/No Credit,Course may be repeated for credit for up to 3 units.,,,
COMM,199C,Senior Seminar: Synthesis & Application,4 unit(s),"Capstone overview of the contemporary field of communication studies that builds on theory, concepts, and skills learned in COMM 101C and upper-division major courses. Synthesis and application of communication literature, resources, and methods of inquiry. Students complete their major portfolios.",Prerequisite(s): COMM 101 or COMM 101C; upper division standing,,Grading: Letter Graded,,,,
COMM,200C,Graduate Study in Communication,4 unit(s),History of and current research in the communication field; theory-building and metatheoretical issues; reviewing and critiquing studies; preparing research questions/hypotheses and prospectus.,"Prerequisite(s): Admission to the Communication Studies, MA program; Graduate standing.",Satisfies GWAR: Graduation Writing Assessment Requirement.,Grading: Letter Graded,,,,Note(s): This course satisfies graduate-level GWAR in this master’s program.
COMM,201C,Methods and Methodologies of Communication Studies,4 unit(s),"Introduction to a representative number of research methods and methodologies pertinent to the field of communication studies, encompassing quantitative, qualitative, and rhetorical methods reflecting social scientific, interpretive, rhetorical, and/or critical approaches to research.",Prerequisite(s): Graduate standing or instructor consent.,,Grading: Letter Graded,,,,
COMM,210F,Interpersonal Communication,4 unit(s),"Examination of the role of communication in creating and maintaining social relationships. Draws on interpretive, critical, and/or quantitative theories and methods for investigating relationships in different cultural contexts and across the life span.",Prerequisite(s): Graduate standing or instructor consent.,,Grading: Letter Graded,,,,
COMM,221I,Performing Narratives,4 unit(s),"Practice in the application of theories and methods for performing narratives, broadly construed. Students will practice creating, directing, and performing work adapted from literary texts, ethnographic interviews, social justice issues, and/or lived experience. Required of graduate students who wish to do thesis performances.",Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,,Cross-listed with TA 221I. Communication Studies is responsible for scheduling.,,
COMM,222F,Performance and Culture,4 unit(s),"Explores cultural identity as constructed, contested, and displayed through acts of performance such as theatre, dance, storytelling, performance art, film, literature, and everyday behavior. Focuses on performance as a site of cultural manifestation and transformation.",Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,Course may be repeated for credit for up to 8 units.,,,
COMM,244F,Organizational Communication,4 unit(s),"Examination of internal communication processes in large organizations. Emphasis on social construction processes in organizations, the communicative constitution of organizations, communication networks, communication relationships, and the understanding of different communication processes and structures in organizations. Experience in gathering and analyzing data to monitor and assess organizational communication.",Prerequisite(s): Graduate standing.,,Grading: Letter Graded,,,,Note(s): MBA recommended elective.
COMM,245I,Communication Criticism,4 unit(s),"Theories guiding critical evaluation of messages communicated in a variety of media, from oral to digital. Emphasis on the historical, political, and social contexts where such messages are designed, transmitted, interpreted, and used.",Prerequisite(s): Graduate standing.,,Grading: Letter Graded,,,,
COMM,249F,Rhetorical Theory,4 unit(s),"Study of rhetorical theory, its foundations, insights, and implications for social practice.","Prerequisite(s): Graduate standing, or instructor consent.",,Grading: Letter Graded,,,,
COMM,250F,Communication Theory: Critical and Interpretive,4 unit(s),"Major theorists and theories of communication in the rhetorical, historical, critical, empirical, and philosophical traditions.",Prerequisite(s): Graduate standing.,,Grading: Letter Graded,,,,
COMM,255F,Seminar in Communication Theory,4 unit(s),"Review and evaluation of communication theories and research, past and present. Examination of methods of theory construction and scholarly inquiry. Experience in applying theory to designing and conducting communication research.",Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,,,,
COMM,265,Seminar in Crisis Communication,3 unit(s),Role of public communication in crisis situations; types of crisis; pre- and post-crisis planning; crisis communication management; risk communication; crisis narratives and rhetoric; ethical obligations of crisis communication; dealing with media; image restoration. Independent research project required.,Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,,,,
COMM,274F,Intercultural Communication,4 unit(s),"Advanced study of the theories, perspectives, and processes that affect intercultural communication among diverse cultural groups in the world.",Prerequisite(s): Graduate standing.,,Grading: Letter Graded,,,,
COMM,280,Independent Study,1-4 unit(s),Supervised and specialized study in specific fields of communication not covered by offered courses or that extend beyond what can be covered in an offered course.,Prerequisite(s): Department Chair consent,,Grading: Mandatory Credit/No Credit/RP,,,,
COMM,282P,Communication Pedagogy,4 unit(s),"Investigation and analysis of the intersections of communication and instruction, including communication education, instructional communication, and critical communication pedagogy.",Prerequisite(s): Graduate standing or instructor consent,,Grading: Letter Graded,,,,
COMM,285A,Teaching Associate Practicum I,2 unit(s),"Instruction and supervised experience in teaching university level courses in Communication Studies. Topics include curriculum design, instructional objectives, and activities and assessment.",Prerequisite(s): Appointment as Graduate Teaching Associate or instructor consent,,Grading: Credit/No Credit,,,,
COMM,285B,Teaching Associate Practicum II,1-3 unit(s),"Instruction and supervised experience in teaching university level courses in Communication Studies. In addition to advanced discussion of topics from 285A, topics will include theories of teaching and learning, identity, culture, and power.","Prerequisite(s): Appointment as Graduate Teaching Associate and COMM 285A, or instructor consent",,Grading: Credit/No Credit,Course may be repeated for credit for up to 6 units.,,,
COMM,290,Thesis and project supervision,1 unit(s),Continued work on thesis or project.,Prerequisite(s): Outstanding RP grade in a preceding semester on a thesis or project.,,Grading: Mandatory Credit/No Credit/RP,,,,
COMM,291,Communication Studies Graduate Internship Program,1-4 unit(s),Practical application of communication theory and research methods to real world settings to provide applied capstone experiences. Students demonstrate proficiency in the critical application of core communication requirements to speech acts in engaged and applied settings outside the traditional classroom.,"Prerequisite(s): Graduate Standing, Permission of Director.",,Grading: Credit/No Credit,Course may be repeated for credit for up to 4 units.,,,
COMM,292,International Program Studies,1-6 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
COMM,295I,Special Topics in Communication Inquiry,4 unit(s),Advanced application of communication research methods with emphasis on current literature. The topic will vary from term to term.,,,Grading: Letter Graded,,,,
COMM,297C,Advanced Writing Workshop,4 unit(s),"Advanced course in writing and presentation skills. Course learning goals will focus on grammar, syntax, and argumentation in written work, as well as oral performance.",Pre/Corequisite(s): COMM 200C. ,Satisfies Graduation Writing Assessment Requirement (GWAR).,Grading: Letter Graded,,,,Note(s): This course satisfies graduate-level GWAR in this master’s program.
COMM,298,Master’s Project or Comprehensive Exam,1-4 unit(s),Supervised project work in the field of Communication Studies or individual preparation for the comprehensive exam.,"Prerequisite(s): Advancement to candidacy for the Master’s degree, completion of core requirements, and instructor consent.",,Grading: Mandatory Credit/No Credit/RP,,,,
COMM,299,Master’s Thesis,1-6 unit(s),Supervised thesis work in the field of Communication Studies.,"Prerequisite(s): Advancement to candidacy for the master’s degree, completion of core requirements and instructor consent.",,Grading: Mandatory Credit/No Credit/RP,,,,
CS,22A,Python for Everyone,3 unit(s),"Introduction to Python programming in interesting, relevant, and practical contexts. Programming skills are developed to solve problems in such fields as life sciences, mathematics, and business. Fundamental programming constructs: data structures and algorithms, iterations, and functions. Course is intended for students who have no prior programming experience.",,Satisfies B4: Mathematics/Quantitative Reasoning.,Grading: Letter Graded,,,,
CS,22B,Python Programming for Data Analysis,3 unit(s),"Hands-on Python programming skills for data analysis. Skills include finding a solution for a given problem and casting it as an algorithm, translating an algorithm to executable code, and debugging and testing code. Applications focus on computational techniques to understand, analyze, and visualize data.","Prerequisite(s): CS 22A with a grade of C- or better, or consent of the instructor; Allowed Majors: Data Science, Biology (all) or Chemistry (all).",,Grading: Letter Graded,,,,
CS,25,The Digital World and Society,3 unit(s),"The secure, effective and ethical use of information technology. The effect of such technology on people and institutions. Technology-related challenges to society and policy. Frameworks for the analysis of information technology with respect to its cultural, historical, environmental, and spatial contexts.",,Satisfies D: Social Sciences (formerly GE Area D1).,Grading: Letter Graded,,Cross-listed with ENGR 25. General Engineering is responsible for scheduling.,,
CS,42,Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Prerequisite(s): Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of “B” or better to waive the exam; or MATH 18A and MATH 18B, with a grade of “B” or better in each to waive the exam.",,Grading: Letter Graded,,Cross-listed with MATH 42. Mathematics and Statistics is responsible for scheduling.,,Note(s): Students who are repeating MATH 42 and MATH 42X are not eligible for this class and must take MATH 42X.
CS,42X,Discrete Mathematics,3 unit(s),"Sets, logic, methods of proof including mathematical induction, functions, relations, elementary combinatorics, probability, Boolean algebras.","Prerequisite(s): Math Enrollment Category M-I, M-II, M-III and satisfactory score on the Precalculus Proficiency Assessment; MATH 19 with a grade of C- or better to waive the exam; or MATH 18A and MATH 18B with a grade of C- or better in each to waive the exam.",,Grading: Letter Graded,,Cross-listed with MATH 42X. Mathematics and Statistics is responsible for scheduling.,,
CS,46A,Introduction to Programming,4 unit(s),"Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems.","Prerequisite(s): Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.",,Grading: Letter Graded,,,,
CS,46AW,Introduction to Programming Workshop,1 unit(s),Designed to help all students excel in Introduction to Programming. Students work in groups on challenging problems to help them understand programming concepts more deeply and lay the groundwork for success in future courses.,"Prerequisite(s): CS 46A (in an object-oriented language) or CS 46AX, or current enrollment in CS 46AX.",,Grading: Credit/No Credit.,,,,
CS,46AX,Introduction to Programming,4 unit(s),"Introduction to programming for anyone new to the field or who needs a refresher with basic Java programming syntax, object-oriented paradigm, control structures, iteration, etc. Hands-on activities in writing, compiling, executing, and debugging programs for solving real-world problems.","Prerequisite(s): Math Enrollment Category M-I, M-II, or M-III, or MATH 1 with a grade of C- or better; and a major of Computer Science, Data Science, Computer Science and Linguistics, Mathematics, Statistics, Applied and Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared; or instructor consent.",,Grading: Letter Graded.,,,,
CS,46B,Introduction to Data Structures,4 unit(s),"Fundamental data structures including lists, stacks, queues, and trees, with algorithms for inserting, deleting, searching, and sorting information within them efficiently. Additional topics include Big-O analysis, exceptions, hashing, Java collections framework, generics, iterators, interfaces, recursion, and debugging. Weekly hands-on activities.","Prerequisite(s): CS 46A or CS 46AX (with grade of C- or better). (If CS 46A was not in Java, then CS 46AW also required.) Math Enrollment Category M-I or M-II and satisfactory score on the Precalculus Proficiency Assessment (70 or higher), or MATH 19 with a C- or better, or MATH 18A and MATH 18B with C- or better; Allowed Majors: Computer Science, Data Science, Stats, Applied/Computational Math, Software Engineering or Forensic Science: Digital Evidence.",,Grading: Letter Graded,,,,
CS,47,Introduction to Computer Systems,3 unit(s),"Instruction sets, assembly language and assemblers, linkers and loaders, data representation and manipulation, interrupts, pointers, function calls, argument passing, and basic gate-level digital logic design.","Prerequisite(s): CS 42 / MATH 42 orCS 42X / MATH 42X, and CS 46B (with a grade of “C-” or better); Allowed Majors: Computer Science, Data Science or Forensic Science: Digital Evidence.",,Grading: Letter Graded,,,,
CS,48,Applied Algorithms,1 unit(s),"Creating and implementing algorithms to solve problems. Techniques covered include using built-in collection classes, bitwise operators, modulo operator, and input/output classes. Emphasis on using data structures learned in CS 46B. Students write a Java program every week.","Prerequisite(s): CS 46B and one Java course (with grades of C- or better), or instructor consent.",,Grading: Letter Graded.,,,,
CS,49C,Programming in C,3 unit(s),Beginning course in the C language.,"Prerequisite(s): Previous programming experience and completion of math GE; Allowed Majors: Computer Science, Math, Math ITEP or Forensic Science: Digital Evidence.",,Grading: Letter Graded,,,,
CS,49J,Programming in Java,3 unit(s),"Introduction to the Java programming language and libraries. Topics include fundamental data types and control structures, object-oriented programming, string processing, input/output, and error handling. Use of Java libraries for mathematics, graphics, collections, and for user interfaces.","Prerequisite(s): CS 46B or equivalent in a language other than Java; Allowed Majors: Computer Science, Data Science, Math, Math ITEP, Stats, Applied/Computational Math, Software Engineering, Forensic Science: Digital Evidence, or Undeclared.",,Grading: Letter Graded,,,,
CS,50,Scientific Computing I,2 unit(s),"Computer systems and structured programming, emphasizing solutions of problems in the atmospheric sciences using Python programming. Includes the UNIX operating system, mass data handling and data visualization.",Prerequisite(s): MATH 30 or MATH 30X.,,Grading: Letter Graded,,Cross-listed with MATH 50 / METR 50. Meteorology and Climate Science is responsible for scheduling.,,
CS,85A,Practical Computing Topics,1 unit(s),Computing topics of current interest in industrial practice. Emphasis on effective use and integration of software/hardware. Different topics may be offered at different times in a short-course lecture/lab format.,Prerequisite(s): Varies with topic,,Grading: Credit/No Credit,,,,
CS,85C,Practical Computing Topics,3 unit(s),Computing topics of current interest in industrial practice. Emphasis on effective use and integration of software/hardware. Different topics may be offered at different times in a short-course lecture/lab format. Different versions of this course may be repeated for credit.,Prerequisite(s): Additional Varies with topic,,Grading: Letter Graded,,,,
CS,92,International Program Studies,1-6 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",,,Grading: Mixed Grading,,,,
CS,100W,Technical Writing Workshop,3 unit(s),"Advanced writing through preparation of technical reports and presentations. Improving skills for writing subject-related reports, project proposals and personal resumes through practice and evaluation. Course assignments will be related to issues concerning careers in computer science.","Prerequisite(s): A3 or equivalent second semester composition course (with a grade of C- or better); completion of core GE; and upper division standing. Or Graduate or Postbaccalaureate level. Allowed Declared Majors: Computer Science, Data Science, Computer Science and Linguistics, or Mathematics.",Satisfies Writing in the Disciplines (WID).,Grading: Letter Graded,,,,Note(s): Must be passed with C or better to satisfy the CSU Graduation Writing Assessment Requirement (GWAR).
CS,108,Introduction to Game Studies,3 unit(s),"Introduction to the systems, design, history, and cultural analysis of games with emphasis on critical studies, development, technological literacy, markets and impact on society.",Prerequisite(s): Upper division standing or instructor consent.,,Grading: Letter Graded.,,Cross-listed with ART 108. Art and Art History is responsible for scheduling.,,
CS,116A,Introduction to Computer Graphics,3 unit(s),"Vector geometry, geometric transformations and the graphics pipeline. Basic raster graphics algorithms for drawing discrete lines, clipping, visible surface determination and shading. Display of curves and surfaces. Graphics data structures.","Prerequisite(s): Prerequisite(s): MATH 31 or MATH 31X, MATH 39, CS 146 (with a grade of “C-” or better in each) and previous programming experience in C/C++; Allowed Majors: Computer Science, Data Science, Software Engineering or Applied/Computational Math or instructor’s consent.",,Grading: Letter Graded,,Cross-listed with SE 116A. Computer Science is responsible for scheduling.,,
CS,116B,Computer Graphics Algorithms,3 unit(s),"In-depth discussion of algorithms and techniques used in computer graphics and their implementation. Topics include: animation, fractals, anti-aliasing, fill algorithms, visible surface algorithms, color and shading, ray tracing, radiosity and texture maps. Substantial programming required.",Prerequisite(s): CS 116A (with a grade of “C-” or better) or instructor consent.,,Grading: Letter Graded,,Cross-listed with SE 116B. Computer Science is responsible for scheduling.,,Note(s): Offered only occasionally.
CS,122,Advanced Programming with Python,3 unit(s),Advanced features of the Python programming language with emphasis on programming practice. Course involves substantial programming projects in Python.,Prerequisite(s): CS 146 (with a grade of “C-” or better) or instructor consent.,,Grading: Letter Graded,,,,
CS,123A,Bioinformatics I,3 unit(s),"Introduction to algorithms, tools, and databases of Bioinformatics. Biological foundations: central dogma; sequence databases; pairwise alignment algorithms and tools; Blast; phylogenetics. Possible additional topics: protein structure, multiple sequence alignment, next-gen sequencing, epigenetics, CRISPR. Project applying these approaches to real-world problems.","Prerequisite(s): CS 46B or BIOL 31, or instructor consent. Allowed Majors: Computer Science, Data Science, Software Engineering, Biology, Chemistry or MS Bioinformatics.",,Grading: Letter Graded,,Cross-listed with BIOL 123A / SE 123A. Computer Science is responsible for scheduling.,,
CS,123B,Bioinformatics II,3 unit(s),"Advanced Bioinformatics algorithms, tools, databases. Biological background; protein structure/function; sequencing technology; sequence identification; transcriptomics; metagenomics; CRISPR. Possible additional topics: functional genomics; protein networks; drug discovery; pathway analysis; immunoinformatics; analysis pipelines; machine learning applications. Project applying advanced approaches to real-world problems.","Prerequisite(s): CS 123A/BIOL 123A/SE 123A; Allowed Majors: Computer Science, Data Science, Software Engineering Biology, Chemistry or MS Bioinformatics. ",,Grading: Letter Graded,,Cross-listed with BIOL 123B / SE 123B. Computer Science is responsible for scheduling.,,
CS,131,Processing Big Data - Tools and Techniques,3 unit(s),"In-depth study of essential tools and techniques for processing big data over the UNIX operating system and/or other operating systems. On UNIX, it includes using grep, sed, awk, join, and programming advanced shell scripts for manipulating big data.","Prerequisite(s): CS 46B or BIOL 123B with a grade of C- or better. Allowed Declared Majors: Computer Science BS, Data Science BS, MS Bioinformatics (MS BI).",,Grading: Letter Graded,,,,
CS,133,Introduction to Data Visualization,3 unit(s),"Topics in data analysis and visualization. Covers tools and techniques to efficiently analyze and visualize large volumes of data in meaningful ways to help solve complex problems in fields such as life sciences, business, and social sciences.","Prerequisite(s): CS 146 with a grade of C- or better, or [CS 22B and graduate standing].",,Grading: Letter Graded,,,,
CS,134,Computer Game Design and Programming,3 unit(s),"Architectures and object-oriented patterns for computer game design. Animation, simulation, user interfaces, graphics, and intelligent behaviors. Team projects using an existing game engine framework.","Prerequisite(s): CS 146 and either CS 151 or CMPE 135 (with a grade of “C-” or better in each); Allowed Majors: Computer Science, Applied and Computational Math, Software Engineering; or instructor consent",,Grading: Letter Graded,,Cross-listed with SE 134. Computer Science is responsible for scheduling.,,
CS,136,Introduction to Computer Vision,3 unit(s),"Fundamental and advanced Computer Vision algorithms. Basic image processing techniques (image convolution, and region and edge detection). Complex vision algorithms for contour detection, depth perception, dynamic vision, and object recognition. Core topics (color processing, texture analysis, and visual geometry).","Prerequisite(s): CS 146, MATH 39, and CS 49C or equivalent (with a grade of “C-” or better in each).",,Grading: Letter Graded,,,,
CS,143C,Numerical Analysis and Scientific Computing,3 unit(s),"Development and comparison of important algorithms for scientific computing in terms of efficiency, accuracy and reliability. Topics include nonlinear equations, interpolation, approximation theory, differentiation, integration, differential equations, numerical stability and error analysis. Substantial assignments using contemporary software packages and professional subprogram libraries.","Prerequisite(s): MATH 32 or MATH 32X, one of CS 22A, MATH 50, CS 46A, CS 49C or CS 49J, one of MATH 33A, MATH 33LA, or MATH 34 (with a grade of “C-” or better in each); or instructor consent.",,Grading: Letter Graded,,Cross-listed with MATH 143C / METR 143C. Mathematics and Statistics is responsible for scheduling.,,
CS,143M,Numerical Analysis and Scientific Computing,3 unit(s),"Development and comparison of important algorithms for scientific computing in terms of efficiency, accuracy and reliability. Topics include systems of linear equations-direct and iterative methods, least squares problems, eigenvalues and eigenvectors, numerical stability and error analysis. Substantial assignments using contemporary software packages and professional subprogram libraries.","Prerequisite(s): MATH 39, one of CS 22A, MATH 50, CS 46A or CS 49C (each with a grade of “C-” or better). Or instructor consent.",,Grading: Letter Graded,,Cross-listed with MATH 143M. Mathematics and Statistics is responsible for scheduling.,,
CS,144,Advanced C++ Programming,3 unit(s),"Advanced features of C++, including operator overloading, memory management, templates, exceptions, multiple inheritance, RTTI, namespaces, tools.","Prerequisite(s): CS 46B and CS 49C (with a grade of C- or better in each), or equivalent knowledge of object-oriented programming and C, or instructor consent; Allowed Major: Computer Science only.",,Grading: Letter Graded,,,,
CS,146,Data Structures and Algorithms,3 unit(s),"Implementations of advanced tree structures, priority queues, heaps, directed and undirected graphs. Advanced searching and sorting techniques (radix sort, heapsort, mergesort, and quicksort). Design and analysis of data structures and algorithms. Divide-and-conquer, greedy, and dynamic programming algorithm design techniques.","Prerequisite(s): MATH 30, MATH 42, CS 46B, and [(CS 48 or CS 49J) if CS 46B was not in Java], each with a grade of C- or better; Computer Science, Applied and Computational Math, Forensic Science: Digital Evidence, Software Engineering, or Data Science majors only; or instructor consent.",,Grading: Letter Graded,,,,
CS,147,Computer Architecture,3 unit(s),"Introduction to the basic concepts of computer hardware structure and design, including processors and arithmetic logic units, pipelining, and memory hierarchy.","Prerequisite(s): CS 47 or CMPE 102 (with a grade of “C-” or better), Computer Science, Applied and Computational Math, Forensic Science: Digital Evidence, or Software Engineering majors only; or instructor consent.",,Grading: Letter Graded,,,,
